OBJECTID,SEG_ID,STREETNAME,ST_CODE,ONEWAY,CLASS,TYPE,Shape__Length
1,100002,BARTRAM  AVE,16120,B,2,Conventional,1116.63735777751
2,100003,BARTRAM  AVE,16120,B,2,Conventional,371.888029534896
3,100004,BARTRAM  AVE,16120,B,2,Conventional,48.7202266109438
4,100040,ISLAND  AVE,45120,FT,2,Paint Buffered,191.424195761106
5,100045,BARTRAM  AVE,16120,B,2,Conventional,410.264295219072
6,100066,S  84TH  ST,89710,FT,2,Conventional,486.923045506168
7,100067,S  84TH  ST,89710,FT,2,Conventional,284.704233285737
8,100070,BARTRAM  AVE,16120,B,2,Conventional,254.948544199055
9,100071,MARIO LANZA  BLVD,53490,B,4,Conventional,358.931311855109
10,100098,LINDBERGH  BLVD,50820,TF,2,Paint Buffered,325.72695178009
11,100100,LINDBERGH  BLVD,50820,TF,2,Paint Buffered,103.659028254625
12,100125,LINDBERGH  BLVD,50820,FT,2,Paint Buffered,149.723285355018
13,100127,LINDBERGH  BLVD,50820,FT,2,Paint Buffered,272.333631727432
14,100184,TINICUM  BLVD,77365,B,5,Conventional,222.401566774853
15,100185,TINICUM  BLVD,77365,B,5,Conventional,203.250467013083
16,100192,BARTRAM  AVE,16120,B,2,Conventional,222.522644898544
17,100193,BARTRAM  AVE,16120,B,2,Conventional,204.044050541951
18,100197,S  84TH  ST,89710,TF,2,Conventional,534.730071491023
19,100200,S  84TH  ST,89710,TF,2,Conventional,239.428518586021
20,100208,MARIO LANZA  BLVD,53490,B,4,Conventional,899.637275451642
21,100209,S  84TH  ST,89710,TF,2,Conventional,652.514576241254
22,100210,S  84TH  ST,89710,FT,2,Conventional,649.112654593246
23,100213,TINICUM  BLVD,77365,B,5,Conventional,604.473553685668
24,100214,BARTRAM  AVE,16120,B,2,Conventional,526.490637363916
25,100215,S  84TH  ST,89710,B,2,Conventional,343.57296323279
26,120051,ISLAND  AVE,45120,B,2,Paint Buffered,477.369451755642
27,120074,ENTERPRISE  AVE,31870,B,3,Paint Buffered,351.15033560547
28,120079,ISLAND  AVE,45120,TF,2,Paint Buffered,86.5346554382214
