DATE,Time,STREET NAME,VEHICLES,TOTAL PEOPLE,PEDESTRIANS,BICYCLISTS,INJURIES,MAJOR INJURIES,FATALITIES 
11-Jan,3:36 a.m.,BENSON ST & FRANKFORD AV,2,3,1,0,0,0,1
11-Jan,21:00 p.m.,CONSHOHOCKEN AV,1,2,1,0,1,1,0
11-Jan,17:45 p.m.,WOODLAND AV,1,2,1,0,0,0,1
11-Jan,3:10 a.m.,GLENWOOD AV,1,2,1,0,1,1,0
11-Feb,16:37 p.m.,N FRONT ST,1,2,1,0,0,0,1
11-Jan,8:00 a.m.,CAMBRIA ST & FOURTH ST,1,2,1,0,1,1,0
11-Feb,22:20 p.m.,ARCH ST,1,2,1,0,1,1,0
11-Feb,99:99 p.m.,TWELFTH ST,1,2,1,0,1,1,0
11-Feb,17:00 p.m.,PASSYUNK AV & RITNER ST,1,2,1,0,1,1,0
11-Feb,20:06 p.m.,TABOR RD,1,3,1,0,1,1,0
11-Feb,18:56 p.m.,CHAMPLOST ST & TENTH ST,1,3,2,0,2,1,0
11-Feb,5:30 a.m.,TABOR AV & GODFREY AV,1,2,0,1,1,1,0
11-Feb,13:33 p.m.,BROAD ST & BRANDYWINE ST,1,2,0,1,1,1,0
11-Feb,21:20 p.m.,MELON ST & BROAD ST,1,2,1,0,0,0,1
11-Feb,20:14 p.m.,BROAD ST,4,13,2,0,1,0,1
11-Mar,13:30 p.m.,HOWELL ST & TORRESDALE AV,1,2,0,1,1,1,0
11-Mar,18:57 p.m.,S CONCOURSE DR PS & LANSDOWNE DR PS,1,2,0,1,1,1,0
11-Mar,16:35 p.m.,BROAD ST & VINE ST & RAMP RD,1,2,1,0,1,1,0
11-Mar,18:40 p.m.,FRONT ST & SNYDER AV,1,3,1,0,1,1,0
11-Mar,22:52 p.m.,SIXTYSIXTH AV,1,3,1,0,1,1,0
11-Mar,14:00 p.m.,TWELFTH ST,1,3,2,0,2,2,0
11-Apr,19:08 p.m.,CHESTER AV & FIFTYEIGHTH ST,4,6,3,0,4,2,1
11-Apr,2:23 a.m.,RICHMOND ST,1,2,1,0,0,0,1
11-Apr,21:29 p.m.,ROOSEVELT BL,1,2,1,0,1,0,1
11-Apr,13:57 p.m.,EIGHTEENTH ST,1,3,1,0,1,1,0
11-Apr,18:54 p.m.,LAWNDALE ST & LUZERNE ST,1,2,1,0,1,1,0
11-Apr,8:00 a.m.,WHITAKER AV & ROOSEVELT BL,1,2,1,0,1,1,0
11-Apr,5:40 a.m.,CHRISTOPHER COLUMBUS BL & RACE ST,1,2,1,0,1,1,0
11-Apr,15:11 p.m.,SANGER ST & ROOSEVELT BL,1,7,1,0,1,1,0
11-Apr,16:32 p.m.,VAUX ST & MIDVALE AV,1,2,1,0,1,1,0
11-Apr,13:20 p.m.,CHAMPLOST AV & N 5TH ST,1,2,1,0,1,1,0
11-Apr,22:30 p.m.,CAMBRIA ST & CHALMERS ST,1,2,1,0,1,1,0
11-May,1:51 a.m.,ROOSEVELT BL & FIFTH ST,1,2,1,0,0,0,1
11-May,19:23 p.m.,FRONT ST,1,2,1,0,0,0,1
11-May,2:32 a.m.,21ST ST & WALNUT ST,1,2,1,0,1,1,0
11-Mar,2:26 a.m.,TORRESDALE AV,1,2,1,0,1,1,0
11-May,2:35 a.m.,CHRISTOPHER COLUMBUS BL,1,3,1,0,1,1,0
11-May,5:26 a.m.,WELSH RD & ROOSEVELT BL,1,2,1,0,0,0,1
11-May,15:25 p.m.,ACADEMY RD,1,2,1,0,0,0,1
11-May,10:33 a.m.,BROAD ST & RITNER ST,1,2,1,0,0,0,1
11-May,17:50 p.m.,GRAYS FERRY AV & FITZWATER ST,1,2,0,1,1,1,0
11-May,13:44 p.m.,MASCHER ST & ALLEGHENY AV,1,2,1,0,1,1,0
11-May,17:00 p.m.,WARRINGTON AV & 50TH ST,1,2,1,0,1,1,0
11-Feb,8:34 a.m.,BRIDGE ST & RAMP B RD,1,2,1,0,1,1,0
11-May,23:09 p.m.,58TH ST & SPRINGFIELD AV,1,3,1,0,2,1,0
11-Jun,8:08 a.m.,GILLESPIE ST & LEVICK ST,1,2,1,0,0,0,1
11-Jun,21:57 p.m.,CEDAR AV & SIXTYFIRST ST,1,2,1,0,2,1,0
11-Jun,23:00 p.m.,WYALUSING AV,1,2,1,0,0,0,1
11-Jun,12:48 a.m.,ARAMINGO AV & CAMBRIA ST,2,3,1,0,1,1,0
11-Jun,17:50 p.m.,WALKER ST,1,2,1,0,1,1,0
11-May,18:29 p.m.,CHRISTIAN ST,1,5,1,0,1,1,0
11-Jun,10:43 a.m.,KINGSESSING AV & FORTYSEVENTH ST,1,2,0,1,1,1,0
11-Jun,9:30 a.m.,DOMINO LN,1,2,0,1,1,1,0
11-Jun,19:47 p.m.,BUSTLETON AV & BOWLER ST,1,4,1,0,1,1,0
11-Jun,18:30 p.m.,BENNINGTON ST,1,2,1,0,1,1,0
11-Jul,23:00 p.m.,JASPER ST & VENANGO ST,1,2,1,0,1,1,0
11-Jun,13:40 p.m.,FIFTH ST,2,2,0,1,1,1,0
11-Jul,23:22 p.m.,COMLY ST & TACONY ST,1,2,1,0,1,1,0
11-Jun,17:40 p.m.,SUSQUEHANNA AV,1,3,1,0,1,1,0
11-Jul,23:57 p.m.,FRANKFORD AV,1,2,1,0,0,0,1
11-Jul,22:30 p.m.,FIFTH ST,1,2,1,0,1,1,0
11-Jul,4:48 a.m.,MAY ST & LANCASTER AV,1,2,1,0,0,0,1
11-Aug,2:20 a.m.,OGONTZ AV & SPENCER AV,1,2,1,0,1,1,0
11-Jul,19:25 p.m.,CHRISTIAN ST,1,2,1,0,1,1,0
11-Aug,19:15 p.m.,FIFTIETH ST & HAVERFORD AV,1,2,0,1,1,1,0
11-Aug,15:55 p.m.,CHRISTIAN ST & FIFTEENTH ST,1,2,1,0,1,1,0
11-Aug,16:50 p.m.,ALLEGHENY AV,1,3,1,0,1,1,0
11-Aug,17:19 p.m.,BROAD ST,1,2,1,0,1,1,0
11-Jun,19:00 p.m.,TEMPLE RD,2,2,1,0,1,1,0
11-Aug,99:99 p.m.,LEHIGH AV & CORAL ST & FRANKFORD AV,2,4,1,0,4,2,0
11-Aug,20:30 p.m.,HAVERFORD AV & FIFTYSECOND ST,1,2,0,1,1,1,0
11-Aug,99:99 p.m.,FRANKFORD AV,3,10,1,0,10,1,0
11-Aug,8:20 a.m.,NINTH ST & CHESTNUT ST,1,2,1,0,1,1,0
11-Aug,13:11 p.m.,SEDGLEY AV & YORK ST,1,2,1,0,1,1,0
11-Sep,16:25 p.m.,MIDVALE AV & HENRY AV,1,2,1,0,1,1,0
11-Aug,6:00 a.m.,SIXTYFIFTH ST & BUIST AV,1,2,0,1,0,0,1
11-May,18:18 p.m.,COBBS CREEK PY,1,2,0,1,1,1,0
11-May,16:31 p.m.,HUNTINGDON ST & MYRTLEWOOD ST,2,5,4,0,4,1,0
11-Sep,99:99 p.m.,TYSON AV & CASTOR AV,1,2,1,0,1,1,0
11-Sep,99:99 p.m.,MARKET ST,1,3,2,0,2,2,0
11-Sep,6:20 a.m.,SECOND ST & LEHIGH AV,1,2,1,0,1,1,0
11-Sep,9:55 a.m.,SCHUYLKILL AV & RAMP A RD & WALNUT ST & SCHUYLKILL EX,1,2,0,1,1,1,0
11-Sep,13:00 p.m.,FRONT ST & OLNEY AV,1,2,1,0,1,1,0
11-Sep,13:15 p.m.,ROBINSON ST,1,2,1,0,1,1,0
11-Sep,11:41 a.m.,COTTMAN AV & HORROCKS ST,1,3,2,0,2,2,0
11-Aug,19:51 p.m.,DICKINSON ST & TWENTYSEVENTH ST,1,2,1,0,1,1,0
11-Sep,21:00 p.m.,GIRARD AV & NINTH ST,1,3,0,1,1,1,0
11-Sep,3:30 a.m.,S SEVENTH ST,1,2,0,1,1,1,0
11-Sep,6:45 a.m.,TORRESDALE AV,1,2,1,0,0,0,1
11-Sep,19:37 p.m.,B ST,1,2,1,0,0,0,1
11-Sep,14:37 p.m.,ROOSEVELT BL,1,3,2,0,1,0,1
11-Aug,12:00 a.m.,VENANGO ST & CAMAC ST,1,2,1,0,1,1,0
11-Jun,19:35 p.m.,MARTIN LUTHER KING DR,1,2,0,1,1,1,0
11-Oct,12:00 p.m.,FOX ST & ALLEGHENY AV,1,2,1,0,0,0,1
11-Oct,19:30 p.m.,MIDVALE AV & HENRY AV,1,2,1,0,1,1,0
11-Oct,22:30 p.m.,GAUL ST & ALLEGHENY AV,1,2,1,0,0,0,1
11-Sep,18:00 p.m.,RIDGE AV,2,3,1,0,0,0,1
11-Oct,22:06 p.m.,TWENTYTHIRD ST & SPRUCE ST,1,2,0,1,1,1,0
11-Aug,13:36 p.m.,DIAMOND ST,1,4,1,0,3,1,0
11-Oct,15:15 p.m.,FRANKFORD AV & ARROTT ST & OXFORD AV & MARGARET ST,1,2,1,0,1,1,0
11-Oct,13:20 p.m.,CRESTVIEW RD & HENRY AV,1,2,1,0,0,0,1
11-Oct,22:50 p.m.,BROAD ST,1,2,1,0,1,1,0
11-Nov,12:16 a.m.,COTTMAN AV & ROOSEVELT BL,1,2,1,0,1,1,0
11-Sep,2:35 a.m.,JOHN F KENNEDY BL,1,2,1,0,1,1,0
11-Nov,21:15 p.m.,RIDGE AV,1,2,1,0,1,1,0
11-Nov,18:40 p.m.,SOUTH CONCOURSE DR & BELMONT AV,1,2,1,0,0,0,1
11-Nov,15:20 p.m.,CECIL B MOORE AV,2,2,1,0,1,1,0
11-Dec,18:14 p.m.,SOLLY AV & ROOSEVELT BL & PENNYPACK CR,1,2,1,0,1,1,0
11-Dec,8:50 a.m.,TWENTIETH ST & APPLETREE ST,1,2,1,0,0,0,1
11-Jul,21:46 p.m.,ERIE AV,4,3,1,0,2,1,0
11-Dec,18:25 p.m.,PRICE ST,1,3,1,0,1,0,1
11-Nov,18:10 p.m.,LEHIGH AV,6,3,0,1,1,0,1
11-Dec,1:30 a.m.,HUNTING PARK AV,1,2,1,0,1,1,0
11-Dec,18:40 p.m.,OGONTZ AV,1,2,1,0,0,0,1
11-Oct,17:00 p.m.,HUTCHINSON ST,2,3,1,0,1,1,0
11-Dec,10:10 a.m.,FRANKFORD AV,1,2,1,0,0,0,1
11-Oct,23:29 p.m.,DELAWARE EX,1,2,1,0,1,0,1
11-Nov,17:20 p.m.,SEVENTYFIFTH AV & OGONTZ AV & WASHINGTON LN,1,2,1,0,0,0,1
11-Dec,8:28 a.m.,OLNEY AV & FRONT ST,1,3,1,0,1,1,0
11-Dec,23:42 p.m.,ARAMINGO AV,1,2,1,0,1,1,0
12-Jan,20:16 p.m.,CASTOR AV,1,2,1,0,0,0,1
11-Dec,18:41 p.m.,GODFREY AV & FIFTH ST,1,6,1,0,1,1,0
11-Nov,12:25 a.m.,BRIDGE ST & SALMON ST,1,2,1,0,1,1,0
12-Jan,12:51 p.m.,COULTER ST & WAYNE AV,1,2,1,0,1,1,0
12-Jan,17:43 p.m.,CALLOWHILL ST & SIXTH ST,1,2,1,0,1,1,0
12-Jan,15:21 p.m.,LARGE ST,1,5,1,0,1,1,0
12-Feb,15:49 p.m.,DEVEREAUX AV & BUSTLETON AV,1,2,1,0,1,1,0
11-Mar,12:34 p.m.,2ND ST,1,2,1,0,1,1,0
12-Jan,15:39 p.m.,WOODLAND AV & FORTYNINTH ST,1,2,1,0,0,0,1
11-Apr,17:00 p.m.,CHESTNUT ST & TWENTIETH ST,1,2,1,0,1,1,0
12-Feb,2:20 a.m.,BROAD ST & ERIE AV,1,2,1,0,0,0,1
12-Jan,5:56 a.m.,WELSH RD & ROOSEVELT BL,1,2,1,0,0,0,1
12-Jan,22:44 p.m.,B ST & LEHIGH AV,1,3,1,0,2,1,0
12-Feb,99:99 p.m.,WILLITS RD,1,2,1,0,0,0,1
12-Feb,18:43 p.m.,HENRY AV,1,2,1,0,0,0,1
11-Jul,9:13 a.m.,BROAD ST,1,2,1,0,1,1,0
12-Feb,18:15 p.m.,CHRISTOPHER COLUMBUS BL,1,2,1,0,1,1,0
12-Feb,12:28 a.m.,THIRTEENTH ST,1,2,1,0,1,1,0
12-Feb,9:41 a.m.,THIRTYTHIRD ST & GIRARD AV,1,2,1,0,2,1,0
12-Mar,12:25 a.m.,BROAD ST & CHELTENHAM AV,1,2,1,0,0,0,1
12-Feb,16:23 p.m.,RIDGE AV,1,2,1,0,0,0,1
12-Mar,20:58 p.m.,FULMER ST & ROOSEVELT BL,1,3,1,0,1,1,0
12-Mar,12:31 p.m.,EIGHTH ST & WASHINGTON AV,2,7,4,0,4,0,1
12-Mar,22:55 p.m.,LINDBERGH BL,1,2,1,0,1,1,0
12-Mar,10:25 a.m.,WALMART SHOPPING CENTER LT,1,2,1,0,1,1,0
12-Mar,17:15 p.m.,FRANKFORD AV & MORRELL AV,1,2,1,0,1,1,0
11-Jun,7:50 a.m.,BARTRAM AV & EIGHTYFOURTH ST,1,2,1,0,1,1,0
12-Apr,9:19 a.m.,GIRARD AV,1,10,1,0,0,0,1
12-Mar,4:00 a.m.,ELLSWORTH ST & BROAD ST,4,3,1,0,0,0,1
12-Mar,12:23 a.m.,LINDEN AV,1,2,0,1,0,0,1
12-Mar,9:51 a.m.,FRANKFORD AV,1,2,1,0,0,0,1
11-Oct,20:20 p.m.,C ST & ROOSEVELT BL,1,2,1,0,1,1,0
12-Mar,22:21 p.m.,WASHINGTON LN,1,3,1,0,0,0,1
12-Mar,15:28 p.m.,VERNON RD & CHEW AV,1,2,1,0,1,1,0
11-Dec,18:45 p.m.,SUSQUEHANNA AV,1,2,1,0,1,1,0
12-Mar,17:09 p.m.,FIFTYSECOND ST,1,2,1,0,1,1,0
12-Mar,19:00 p.m.,TABOR RD,1,3,1,0,0,0,1
12-Apr,18:28 p.m.,CECIL B MOORE AV & TWENTYEIGHTH ST,1,3,1,0,1,1,0
12-Apr,17:00 p.m.,NINETEENTH ST,1,2,1,0,1,1,0
12-Apr,15:34 p.m.,OAKLEY ST,1,2,1,0,1,1,0
12-Apr,22:17 p.m.,TYSON AV,1,2,0,1,1,1,0
12-Apr,15:25 p.m.,FIFTYFIRST ST,1,3,1,0,1,1,0
12-Apr,18:00 p.m.,BALTIMORE AV,1,2,1,0,1,1,0
12-Apr,2:00 a.m.,HUNTING PARK AV,1,2,1,0,1,1,0
12-Apr,21:30 p.m.,BOYER ST & VERNON RD,1,2,1,0,1,1,0
12-May,18:46 p.m.,COTTMAN AV & ROOSEVELT BL,1,2,1,0,0,0,1
12-Apr,21:00 p.m.,SIXTEENTH ST & MARKET ST,1,2,1,0,1,1,0
12-Apr,12:55 p.m.,TULIP ST,2,3,1,0,1,1,0
12-May,6:15 a.m.,CHELTENHAM AV,1,2,1,0,1,1,0
12-May,10:40 a.m.,EIGHTEENTH ST & CHANCELLOR ST,1,2,1,0,1,1,0
12-Jun,17:00 p.m.,ARAMINGO AV & ALLEGHENY AV,1,2,1,0,1,1,0
12-May,10:00 a.m.,FORTYFIFTH ST & SPRINGFIELD AV,1,3,2,0,2,2,0
12-May,22:15 p.m.,TORRESDALE AV,1,2,0,1,0,0,1
12-May,7:30 a.m.,GIRARD AV & HOWARD ST,1,2,1,0,1,1,0
12-May,19:16 p.m.,RUTLAND ST,1,2,1,0,1,1,0
12-May,14:19 p.m.,SECOND ST,1,2,1,0,1,1,0
12-May,23:35 p.m.,FRANKFORD AV,1,2,1,0,1,1,0
12-May,14:07 p.m.,TYSON AV & ROOSEVELT BL,1,2,1,0,2,1,0
12-Jun,8:50 a.m.,MARKET ST,1,3,1,0,1,1,0
12-Jun,15:40 p.m.,CRESTON ST,1,2,1,0,1,1,0
12-May,15:30 p.m.,CECIL B MOORE AV,1,2,1,0,1,1,0
12-May,6:35 a.m.,RED LION RD,1,4,3,0,3,0,1
12-May,20:53 p.m.,ELKHART ST & FRANKFORD AV,1,3,1,0,0,0,1
12-Jun,7:00 a.m.,COTTMAN AV & BROUS AV,1,2,1,0,1,1,0
12-May,20:00 p.m.,MARKET ST,1,2,0,1,1,1,0
12-Jul,1:28 a.m.,BELFIELD AV,1,3,1,0,1,1,0
12-Jun,2:10 a.m.,SIXTYFIRST ST & CHESTNUT ST,1,2,1,0,1,1,0
12-Jul,23:09 p.m.,PASSYUNK AV,1,2,1,0,0,0,1
12-Jun,5:45 a.m.,AMERICAN ST,1,2,1,0,0,0,1
12-May,21:40 p.m.,S 64TH ST & GARMAN ST,1,2,1,0,1,1,0
12-Jul,17:50 p.m.,NINETEENTH ST,1,2,0,1,1,1,0
12-Jul,20:10 p.m.,VINE ST & SIXTYSECOND ST,1,2,0,1,1,1,0
12-Aug,10:50 a.m.,ERIE AV & L ST,1,2,1,0,0,0,1
